,cumulative reward top 0,clicks hr top 0,clicks ndcg top 0,purchase hr top 0,purchase ndgc top 0,cumulative reward top 1,clicks hr top 1,clicks ndcg top 1,purchase hr top 1,purchase ndgc top 1,cumulative reward top 2,clicks hr top 2,clicks ndcg top 2,purchase hr top 2,purchase ndgc top 2,cumulative reward top 3,clicks hr top 3,clicks ndcg top 3,purchase hr top 3,purchase ndgc top 3
0,5837.799999997885,0.16612851419201055,[[0.13073286]],0.36042336042336043,[[0.30804065]],6772.199999997261,0.1968708265007692,[[0.14065954]],0.39954639954639953,[[0.32069242]],7287.399999996902,0.21437627846432133,[[0.14529855]],0.41863541863541864,[[0.32575205]],7644.799999996644,0.22656500938244892,[[0.14818115]],0.43167643167643166,[[0.32883283]]
1,7949.599999996516,0.23103646476087433,[[0.18149249]],0.4692874692874693,[[0.40459917]],9156.999999998628,0.27276723074062176,[[0.1950059]],0.5108675108675109,[[0.41802334]],9807.200000000306,0.2958514361063682,[[0.2011216]],0.5305235305235305,[[0.42322297]],10268.000000001486,0.31173397798928204,[[0.20487591]],0.5465885465885466,[[0.42700175]]
2,8698.999999997694,0.25387554308319105,[[0.19884171]],0.5087885087885088,[[0.43132688]],10035.200000000934,0.300035501158014,[[0.21380421]],0.5549045549045549,[[0.44651309]],10766.800000002835,0.3261795682382973,[[0.22073238]],0.5762615762615763,[[0.45216474]],11267.800000004132,0.34397241052862915,[[0.22493334]],0.5913815913815914,[[0.45575641]]
3,8260.999999996538,0.24119655807820398,[[0.18875517]],0.4827064827064827,[[0.40618636]],9572.199999999768,0.2870606731695772,[[0.20361546]],0.5254205254205254,[[0.42000353]],10303.60000000162,0.3123510219261914,[[0.21031594]],0.5505575505575505,[[0.42664933]],10813.200000002906,0.3298311159197336,[[0.2144494]],0.5687015687015687,[[0.4309067]]
4,8661.19999999759,0.2515595151556134,[[0.19778541]],0.512001512001512,[[0.44275287]],9940.000000000657,0.2966882491166974,[[0.21239959]],0.5518805518805519,[[0.4556899]],10635.000000002445,0.3214545331597721,[[0.21896598]],0.5724815724815725,[[0.46117335]],11128.400000003696,0.33858806822984466,[[0.22301747]],0.5891135891135891,[[0.46510881]]
5,9004.399999998299,0.2612885229827735,[[0.20614796]],0.5333585333585333,[[0.46185018]],10311.800000001615,0.3074146704309164,[[0.22111496]],0.5741825741825742,[[0.47501641]],11034.600000003442,0.3330177674843203,[[0.22790054]],0.5962955962955963,[[0.48089483]],11503.000000004682,0.35023582912109275,[[0.23196871]],0.6078246078246078,[[0.48361768]]
6,9150.799999998686,0.26633475901475834,[[0.20986171]],0.5384615384615384,[[0.47009983]],10479.400000002042,0.31365273105337005,[[0.22522357]],0.577962577962578,[[0.48297102]],11227.600000003953,0.33956857640356364,[[0.23209446]],0.6034776034776035,[[0.48973398]],11695.800000005247,0.3561019728500668,[[0.2359993]],0.618030618030618,[[0.4931802]]
7,9264.199999998948,0.26918330431254545,[[0.21281034]],0.5471555471555472,[[0.47337449]],10614.800000002364,0.3177691748516559,[[0.22859032]],0.5851445851445851,[[0.48565991]],11357.400000004307,0.3438287153652393,[[0.23549478]],0.608958608958609,[[0.49198825]],11846.400000005582,0.3614102412388214,[[0.23965168]],0.6227556227556228,[[0.49525374]]
8,9314.39999999909,0.27172755397021287,[[0.21413777]],0.5452655452655453,[[0.47358626]],10705.800000002628,0.32026270856930333,[[0.2298915]],0.5911925911925912,[[0.48864346]],11463.000000004617,0.34664345003634645,[[0.23687789]],0.6163296163296164,[[0.49528304]],11968.200000005876,0.36423342856659846,[[0.24103459]],0.6331506331506331,[[0.49925832]]
9,9373.599999999276,0.2736378543776309,[[0.21603781]],0.547911547911548,[[0.47316693]],10741.200000002702,0.3214207225330922,[[0.23152274]],0.5927045927045927,[[0.48782277]],11517.800000004754,0.3484100552803746,[[0.23866366]],0.6187866187866188,[[0.49471256]],12004.200000005952,0.3655858536337971,[[0.24272194]],0.6339066339066339,[[0.49829428]]
10,9314.999999999085,0.27251365104052205,[[0.21489164]],0.5418635418635419,[[0.46630752]],10726.60000000268,0.32181799739658173,[[0.23091241]],0.5881685881685882,[[0.48141269]],11494.400000004716,0.3482240968336348,[[0.2379119]],0.6151956151956152,[[0.48858094]],12005.400000005982,0.3660592024073166,[[0.2421271]],0.632016632016632,[[0.49254743]]
11,9342.99999999918,0.27306307372407146,[[0.21503229]],0.5446985446985447,[[0.46727236]],10724.20000000266,0.32163203894984194,[[0.23078316]],0.5885465885465886,[[0.48144002]],11470.600000004608,0.34759860024005546,[[0.23766026]],0.6134946134946135,[[0.48805655]],11991.400000005942,0.36601693912396666,[[0.24201325]],0.6295596295596295,[[0.49184886]]
12,9316.399999999114,0.2730377157540615,[[0.2143735]],0.5397845397845398,[[0.46052143]],10708.600000002647,0.32169120754653185,[[0.23015275]],0.5853335853335854,[[0.47526767]],11469.400000004629,0.34771693743343535,[[0.23704826]],0.6127386127386127,[[0.48252501]],11971.400000005902,0.36563656957381707,[[0.24128269]],0.6274806274806275,[[0.48600875]]
13,9252.199999998938,0.2713809950467432,[[0.21368705]],0.5350595350595351,[[0.45723219]],10676.600000002558,0.3199161496458337,[[0.22943325]],0.5872235872235873,[[0.47425682]],11434.600000004528,0.3469646509898061,[[0.23659778]],0.6095256095256095,[[0.48015515]],11948.00000000582,0.3649011884435278,[[0.24084392]],0.6263466263466263,[[0.4841238]]
